id,name,address,city,cuisine
385,bertolini's, 3500 peachtree rd.  phipps plaza, atlanta, italian
386,bistango, 1100 peachtree st., atlanta, mediterranean
387,cafe renaissance, 7050 jimmy carter blvd.  norcross, atlanta, american
388,camille's, 1186 n. highland ave., atlanta, italian
389,cassis, 3300 peachtree rd.  grand hyatt, atlanta, mediterranean
390,city grill, 50 hurt plaza, atlanta, international
391,coco loco, 40  buckhead crossing mall on the sidney marcus blvd., atlanta, caribbean
392,colonnade restaurant, 1879 cheshire bridge rd., atlanta, southern
393,dante's down the hatch  buckhead, 3380 peachtree rd., atlanta, continental
394,dante's down the hatch, underground underground mall  underground atlanta, atlanta, continental
395,fat matt's rib shack, 1811 piedmont ave.  near cheshire bridge rd., atlanta, barbecue
396,french quarter food shop, 923 peachtree st.  at 8th st., atlanta, southern
397,holt bros. bar-b-q, 6359 jimmy carter blvd.  at buford hwy.  norcross, atlanta, barbecue
398,horseradish grill, 4320 powers ferry rd., atlanta, southern
399,hsu's gourmet, 192 peachtree center ave.  at international blvd., atlanta, asian
400,imperial fez, 2285 peachtree rd.  peachtree battle condominium, atlanta, mediterranean
401,kamogawa, 3300 peachtree rd.  grand hyatt, atlanta, asian
402,la grotta at ravinia dunwoody rd., holiday inn/crowne plaza at ravinia  dunwoody, atlanta, italian
403,little szechuan, c buford hwy.  northwoods plaza  doraville, atlanta, asian
404,lowcountry barbecue, 6301 roswell rd.  sandy springs plaza  sandy springs, atlanta, barbecue
405,luna si, 1931 peachtree rd., atlanta, continental
406,mambo restaurante cubano, 1402 n. highland ave., atlanta, caribbean
407,mckinnon's louisiane, 3209 maple dr., atlanta, southern
408,mi spia dunwoody rd., park place  across from perimeter mall  dunwoody, atlanta, italian
409,nickiemoto's: a sushi bar, 247 buckhead ave.  east village sq., atlanta, fusion
410,palisades, 1829 peachtree rd., atlanta, continental
411,pleasant peasant, 555 peachtree st.  at linden ave., atlanta, american
412,pricci, 500 pharr rd., atlanta, italian
413,r.j.'s uptown kitchen & wine bar, 870 n. highland ave., atlanta, american
414,rib ranch, 25 irby ave., atlanta, barbecue
415,sa tsu ki, 3043 buford hwy., atlanta, asian
416,sato sushi and thai, 6050 peachtree pkwy.  norcross, atlanta, asian
417,south city kitchen, 1144 crescent ave., atlanta, southern
418,south of france, 2345 cheshire bridge rd., atlanta, french
419,stringer's fish camp and oyster bar, 3384 shallowford rd.  chamblee, atlanta, southern
420,sundown cafe, 2165 cheshire bridge rd., atlanta, american
421,taste of new orleans, 889 w. peachtree st., atlanta, southern
422,tomtom, 3393 peachtree rd., atlanta, continental
423,antonio's, 3700 w. flamingo, las vegas, italian
424,bally's big kitchen, 3645 las vegas blvd. s, las vegas, buffets
425,bamboo garden, 4850 flamingo rd., las vegas, asian
426,battista's hole in the wall, 4041 audrie st. at flamingo rd., las vegas, italian
427,bertolini's, 3570 las vegas blvd. s, las vegas, italian
428,binion's coffee shop, 128 fremont st., las vegas, coffee shops/diners
429,bistro, 3400 las vegas blvd. s, las vegas, continental
430,broiler, 4111 boulder hwy., las vegas, american
431,bugsy's diner, 3555 las vegas blvd. s, las vegas, coffee shops/diners
432,cafe michelle, 1350 e. flamingo rd., las vegas, american
433,cafe roma, 3570 las vegas blvd. s, las vegas, coffee shops/diners
434,capozzoli's, 3333 s. maryland pkwy., las vegas, italian
435,carnival world, 3700 w. flamingo rd., las vegas, buffets
436,center stage plaza hotel, 1 main st., las vegas, american
437,circus circus, 2880 las vegas blvd. s, las vegas, buffets
438,empress court, 3570 las vegas blvd. s, las vegas, asian
439,feast, 2411 w. sahara ave., las vegas, buffets
440,golden nugget hotel, 129 e. fremont st., las vegas, buffets
441,golden steer, 308 w. sahara ave., las vegas, steak houses
442,lillie langtry's, 129 e. fremont st., las vegas, asian
443,mandarin court, 1510 e. flamingo rd., las vegas, asian
444,margarita's mexican cantina, 3120 las vegas blvd. s, las vegas, mexican
445,mary's diner, 5111 w. boulder hwy., las vegas, coffee shops/diners
446,mikado, 3400 las vegas blvd. s, las vegas, asian
447,pamplemousse, 400 e. sahara ave., las vegas, continental
448,ralph's diner, 3000 las vegas blvd. s, las vegas, coffee shops/diners
449,the bacchanal, 3570 las vegas blvd. s, las vegas, only in las vegas
450,venetian, 3713 w. sahara ave., las vegas, italian
451,viva mercado's, 6182 w. flamingo rd., las vegas, mexican
452,yolie's, 3900 paradise rd., las vegas, steak houses
453,2223, 2223 market st., san francisco, american
454,acquarello, 1722 sacramento st., san francisco, italian
455,bardelli's, 243 o'farrell st., san francisco, old san francisco
456,betelnut, 2030 union st., san francisco, asian
457,bistro roti, 155 steuart st., san francisco, french
458,bix, 56 gold st., san francisco, american
459,bizou, 598 fourth st., san francisco, french
460,buca giovanni, 800 greenwich st., san francisco, italian
461,cafe adriano, 3347 fillmore st., san francisco, italian
462,cafe marimba, 2317 chestnut st., san francisco, mexican/latin american/spanish
463,california culinary academy, 625 polk st., san francisco, french
464,capp's corner, 1600 powell st., san francisco, italian
465,carta, 1772 market st., san francisco, american
466,chevys, 4th and howard sts., san francisco, mexican/latin american/spanish
467,cypress club, 500 jackson st., san francisco, american
468,des alpes, 732 broadway, san francisco, french
469,faz, 161 sutter st., san francisco, greek and middle eastern
470,fog city diner, 1300 battery st., san francisco, american
471,garden court, market and new montgomery sts., san francisco, old san francisco
472,gaylord's, ghirardelli sq., san francisco, asian
473,grand cafe hotel monaco, 501 geary st., san francisco, american
474,greens, bldg. a fort mason, san francisco, vegetarian
475,harbor village, 4 embarcadero center, san francisco, asian
476,harris', 2100 van ness ave., san francisco, steak houses
477,harry denton's, 161 steuart st., san francisco, american
478,hayes street grill, 320 hayes st., san francisco, seafood
479,helmand, 430 broadway, san francisco, greek and middle eastern
480,hong kong flower lounge, 5322 geary blvd., san francisco, asian
481,hong kong villa, 2332 clement st., san francisco, asian
482,hyde street bistro, 1521 hyde st., san francisco, italian
483,il fornaio levi's plaza, 1265 battery st., san francisco, italian
484,izzy's steak & chop house, 3345 steiner st., san francisco, steak houses
485,jack's, 615 sacramento st., san francisco, old san francisco
486,kabuto sushi, 5116 geary blvd., san francisco, asian
487,katia's, 600 5th ave., san francisco, 
488,kuleto's, 221 powell st., san francisco, italian
489,kyo-ya. sheraton palace hotel, 2 new montgomery st.  at market st., san francisco, asian
490,l'osteria del forno, 519 columbus ave., san francisco, italian
491,le central, 453 bush st., san francisco, french
492,le soleil, 133 clement st., san francisco, asian
493,macarthur park, 607 front st., san francisco, american
494,manora, 3226 mission st., san francisco, asian
495,maykadeh, 470 green st., san francisco, greek and middle eastern
496,mccormick & kuleto's, ghirardelli sq., san francisco, seafood
497,millennium, 246 mcallister st., san francisco, vegetarian
498,moose's, 1652 stockton st., san francisco, mediterranean
499,north india, 3131 webster st., san francisco, asian
500,one market, 1 market st., san francisco, american
501,oritalia, 1915 fillmore st., san francisco, italian
502,pacific pan pacific hotel, 500 post st., san francisco, french
503,palio d'asti, 640 sacramento st., san francisco, italian
504,pane e vino, 3011 steiner st., san francisco, italian
505,pastis, 1015 battery st., san francisco, french
506,perry's, 1944 union st., san francisco, american
507,r&g lounge, 631 b kearny st., san francisco, or 415/982-3811 asian
508,rubicon, 558 sacramento st., san francisco, american
509,rumpus, 1 tillman pl., san francisco, american
510,sanppo, 1702 post st., san francisco, asian
511,scala's bistro, 432 powell st., san francisco, italian
512,south park cafe, 108 south park, san francisco, french
513,splendido embarcadero,4, san francisco, mediterranean
514,stars, 150 redwood alley, san francisco, american
515,stars cafe, 500 van ness ave., san francisco, american
516,stoyanof's cafe, 1240 9th ave., san francisco, greek and middle eastern
517,straits cafe, 3300 geary blvd., san francisco, asian
518,suppenkuche, 601 hayes st., san francisco, russian/german
519,tadich grill, 240 california st., san francisco, seafood
520,the heights, 3235 sacramento st., san francisco, french
521,thepin, 298 gough st., san francisco, asian
522,ton kiang, 3148 geary blvd., san francisco, asian
523,vertigo, 600 montgomery st., san francisco, mediterranean
524,vivande porta via, 2125 fillmore st., san francisco, italian
525,vivande ristorante, 670 golden gate ave., san francisco, italian
526,world wrapps, 2257 chestnut st., san francisco, american
527,wu kong, 101 spear st., san francisco, asian
528,yank sing, 427 battery st., san francisco, asian
529,yaya cuisine, 1220 9th ave., san francisco, greek and middle eastern
530,yoyo tsumami bistro, 1611 post st., san francisco, french
531,zarzuela, 2000 hyde st., san francisco, mexican/latin american/spanish
532,zuni cafe & grill, 1658 market st., san francisco, mediterranean
533,apple pan  the, 10801 w. pico blvd., west la, american
534,asahi ramen, 2027 sawtelle blvd., west la, noodle shops
535,baja fresh, 3345 kimber dr., westlake village, mexican
536,belvedere  the, 9882 little santa monica blvd., beverly hills, pacific new wave
537,benita's frites, 1433 third st. promenade, santa monica, fast food
538,bernard's, 515 s. olive st., los angeles, continental
539,bistro 45, 45 s. mentor ave., pasadena, californian
540,brent's deli, 19565 parthenia ave., northridge, delis
541,brighton coffee shop, 9600 brighton way, beverly hills, coffee shops
542,bristol farms market cafe, 1570 rosecrans ave. s., pasadena, californian
543,bruno's, 3838 centinela ave., mar vista, italian
544,cafe '50s, 838 lincoln blvd., venice, american
545,cafe blanc, 9777 little santa monica blvd., beverly hills, pacific new wave
546,cassell's, 3266 w. sixth st., la, hamburgers
547,chez melange, 1716 pch, redondo beach, eclectic
548,diaghilev, 1020 n. san vicente blvd., w. hollywood, russian
549,don antonio's, 1136 westwood blvd., westwood, italian
550,duke's, 8909 sunset blvd., w. hollywood, coffee shops
551,falafel king, 1059 broxton ave., westwood, middle eastern
552,feast from the east, 1949 westwood blvd., west la, chinese
553,gumbo pot  the, 6333 w. third st., la, cajun/creole
554,hollywood hills coffee shop, 6145 franklin ave., hollywood, coffee shops
555,indo cafe, 10428 1/2 national blvd., la, indonesian
556,jan's family restaurant, 8424 beverly blvd., la, coffee shops
557,jiraffe, 502 santa monica blvd, santa monica, californian
558,jody maroni's sausage kingdom, 2011 ocean front walk, venice, hot dogs
559,joe's, 1023 abbot kinney blvd., venice, american (new)
560,john o'groats, 10516 w. pico blvd., west la, coffee shops
561,johnnie's pastrami, 4017 s. sepulveda blvd., culver city, delis
562,johnny reb's southern smokehouse, 4663 long beach blvd., long beach, southern/soul
563,johnny rockets (la), 7507 melrose ave., la, american
564,killer shrimp, 4000 colfax ave., studio city, seafood
565,kokomo cafe, 6333 w. third st., la, american
566,koo koo roo, 8393 w. beverly blvd., la, chicken
567,la cachette, 10506 little santa monica blvd., century city, french (new)
568,la salsa (la), 22800 pch, malibu, mexican
569,la serenata de garibaldi, 1842 e. first, st. boyle hts., mexican/tex-mex
570,langer's, 704 s. alvarado st., la, delis
571,local nochol, 30869 thousand oaks blvd., westlake village, health food
572,main course  the, 10509 w. pico blvd., rancho park, american
573,mani's bakery & espresso bar, 519 s. fairfax ave., la, desserts
574,martha's, 22nd street grill 25 22nd, st. hermosa beach, american
575,maxwell's cafe, 13329 washington blvd., marina del rey, american
576,michael's (los angeles), 1147 third st., santa monica, californian
577,mishima, 8474 w. third st., la, noodle shops
578,mo better meatty meat, 7261 melrose ave., la, hamburgers
579,mulberry st., 17040 ventura blvd., encino, pizza
580,ocean park cafe, 3117 ocean park blvd., santa monica, american
581,ocean star, 145 n. atlantic blvd., monterey park, seafood
582,original pantry bakery, 875 s. figueroa st. downtown, la, diners
583,parkway grill, 510 s. arroyo pkwy., pasadena, californian
584,pho hoa, 642 broadway, chinatown, vietnamese
585,pink's famous chili dogs, 709 n. la brea ave., la, hot dogs
586,poquito mas, 2635 w. olive ave., burbank, mexican
587,r-23, 923 e. third st., los angeles, japanese
588,rae's, 2901 pico blvd., santa monica, diners
589,rubin's red hots, 15322 ventura blvd., encino, hot dogs
590,ruby's (la), 45 s. fair oaks ave., pasadena, diners
591,russell's burgers, 1198 pch, seal beach, hamburgers
592,ruth's chris steak house (los angeles), 224 s. beverly dr., beverly hills, steakhouses
593,shiro, 1505 mission st. s., pasadena, pacific new wave
594,sushi nozawa, 11288 ventura blvd., studio city, japanese
595,sweet lady jane, 8360 melrose ave., la, desserts
596,taiko, 11677 san vicente blvd., brentwood, noodle shops
597,tommy's, 2575 beverly blvd., la, hamburgers
598,uncle bill's pancake house, 1305 highland ave., manhattan beach, diners
599,water grill, 544 s. grand ave., los angeles, seafood
600,zankou chicken, 1415 e. colorado st., glendale, middle eastern
601,afghan kebab house, 764 ninth ave., new york city, afghan
602,arcadia, 21 e. 62nd st., new york city, american (new)
603,benny's burritos, 93 ave. a, new york city, mexican
604,cafe con leche, 424 amsterdam ave., new york city, cuban
605,corner bistro, 331 w. fourth st., new york city, hamburgers
606,cucina della fontana, 368 bleecker st., new york city, italian
607,cucina di pesce, 87 e. fourth st., new york city, seafood
608,darbar, 44 w. 56th st., new york city, indian
609,ej's luncheonette, 432 sixth ave., new york city, diners
610,edison cafe, 228 w. 47th st., new york city, diners
611,elias corner, 24-02 31st st., queens, greek
612,good enough to eat, 483 amsterdam ave., new york city, american
613,gray's papaya, 2090 broadway, new york city, hot dogs
614,il mulino, 86 w. third st., new york city, italian
615,jackson diner, 37-03 74th st., queens, indian
616,joe's shanghai, 9 pell st., queens, chinese
617,john's pizzeria, 48 w. 65th st., new york city, pizza
618,kelley & ping, 127 greene st., new york city, pan-asian
619,kiev, 117 second ave., new york city, ukrainian
620,kuruma zushi, 2nd fl., new york city, japanese
621,la caridad, 2199 broadway, new york city, cuban
622,la grenouille, 3 e. 52nd st., new york city, french (classic)
623,lemongrass grill, 61a seventh ave., brooklyn, thai
624,lombardi's, 32 spring st., new york city, pizza
625,marnie's noodle shop, 466 hudson st., new york city, asian
626,menchanko-tei, 39 w. 55th st., new york city, japanese
627,mitali east-west, 296 bleecker st., new york city, indian
628,monsoon (ny), 435 amsterdam ave., new york city, thai
629,moustache, 405 atlantic ave., brooklyn, middle eastern
630,nobu, 105 hudson st., new york city, japanese
631,one if by land  tibs, 17 barrow st., new york city, continental
632,oyster bar, lower level, new york city, seafood
633,palm, 837 second ave., new york city, steakhouses
634,palm too, 840 second ave., new york city, steakhouses
635,patsy's pizza, 19 old fulton st., brooklyn, pizza
636,peter luger steak house, 178 broadway, brooklyn, steakhouses
637,rose of india, 308 e. sixth st., new york city, indian
638,sam's noodle shop, 411 third ave., new york city, chinese
639,sarabeth's, 1295 madison ave., new york city, american
640,sparks steak house, 210 e. 46th st., new york city, steakhouses
641,stick to your ribs, 5-16 51st ave., queens, bbq
642,sushisay, 38 e. 51st st., new york city, japanese
643,sylvia's, 328 lenox ave., new york city, southern/soul
644,szechuan hunan cottage, 1588 york ave., new york city, chinese
645,szechuan kitchen, 1460 first ave., new york city, chinese
646,teresa's, 80 montague st., queens, polish
647,thai house cafe, 151 hudson st., new york city, thai
648,thailand restaurant, 106 bayard st., new york city, thai
649,veselka, 144 second ave., new york city, ukrainian
650,westside cottage, 689 ninth ave., new york city, chinese
651,windows on the world, 107th fl., new york city, eclectic
652,wollensky's grill, 205 e. 49th st., new york city, steakhouses
653,yama, 122 e. 17th st., new york city, japanese
654,zarela, 953 second ave., new york city, mexican
655,andre's french restaurant, 401 s. 6th st., las vegas, french (classic)
656,buccaneer bay club, 3300 las vegas blvd. s., las vegas, continental
657,buzio's in the rio, 3700 w. flamingo rd., las vegas, seafood
658,emeril's new orleans fish house, 3799 las vegas blvd. s., las vegas, seafood
659,fiore rotisserie & grille, 3700 w. flamingo rd., las vegas, italian
660,hugo's cellar, 202 e. fremont st., las vegas, continental
661,madame ching's, 3300 las vegas blvd. s., las vegas, asian
662,mayflower cuisinier, 4750 w. sahara ave., las vegas, chinese
663,michael's (las vegas), 3595 las vegas blvd. s., las vegas, continental
664,monte carlo, 3145 las vegas blvd. s., las vegas, french (new)
665,moongate, 3400 las vegas blvd. s., las vegas, chinese
666,morton's of chicago (las vegas), 3200 las vegas blvd. s., las vegas, steakhouses
667,nicky blair's, 3925 paradise rd., las vegas, italian
668,piero's restaurant, 355 convention center dr., las vegas, italian
669,spago (las vegas), 3500 las vegas blvd. s., las vegas, californian
670,steakhouse  the, 128 e. fremont st., las vegas, steakhouses
671,stefano's, 129 fremont st., las vegas, italian
672,sterling brunch, 3645 las vegas blvd. s., las vegas, eclectic
673,tre visi, 3799 las vegas blvd. s., las vegas, italian
674,103 west, 103 w. paces ferry rd., atlanta, continental
675,alon's at the terrace, 659 peachtree st., atlanta, sandwiches
676,baker's cajun cafe, 1134 euclid ave., atlanta, cajun/creole
677,barbecue kitchen, 1437 virginia ave., atlanta, bbq
678,bistro  the, 56 e. andrews dr. nw, atlanta, french bistro
679,bobby & june's kountry kitchen, 375 14th st., atlanta, southern/soul
680,bradshaw's restaurant, 2911 s. pharr court, atlanta, southern/soul
681,brookhaven cafe, 4274 peachtree rd., atlanta, vegetarian
682,cafe sunflower, 5975 roswell rd., atlanta, health food
683,canoe, 4199 paces ferry rd., atlanta, american (new)
684,carey's, 1021 cobb pkwy. se, marietta, hamburgers
685,carey's corner, 1215 powers ferry rd., marietta, hamburgers
686,chops, 70 w. paces ferry rd., atlanta, steakhouses
687,chopstix, 4279 roswell rd., atlanta, chinese
688,deacon burton's soulfood restaurant, 1029 edgewood ave. se, atlanta, southern/soul
689,eats, 600 ponce de leon ave., atlanta, italian
690,flying biscuit  the, 1655 mclendon ave., atlanta, eclectic
691,frijoleros, 1031 peachtree st. ne, atlanta, tex-mex
692,greenwood's, 1087 green st., roswell, southern/soul
693,harold's barbecue, 171 mcdonough blvd., atlanta, bbq
694,havana sandwich shop, 2905 buford hwy., atlanta, cuban
695,house of chan, 2469 cobb pkwy., smyrna, chinese
696,indian delights, 3675 satellite blvd., duluth, indian
697,java jive, 790 ponce de leon ave., atlanta, coffee shops
698,johnny rockets (at), 2970 cobb pkwy., atlanta, american
699,kalo's coffee house, 1248 clairmont rd., decatur, coffeehouses
700,la fonda latina, 4427 roswell rd., atlanta, spanish
701,lettuce souprise you (at), 3525 mall blvd., duluth, cafeterias
702,majestic, 1031 ponce de leon ave., atlanta, diners
703,morton's of chicago (atlanta), 303 peachtree st. ne, atlanta, steakhouses
704,my thai, 1248 clairmont rd., atlanta, thai
705,nava, 3060 peachtree rd., atlanta, southwestern
706,nuevo laredo cantina, 1495 chattahoochee ave. nw, atlanta, mexican
707,original pancake house (at), 4330 peachtree rd., atlanta, american
708,palm  the (atlanta), 3391 peachtree rd. ne, atlanta, steakhouses
709,rainbow restaurant, 2118 n. decatur rd., decatur, vegetarian
710,ritz-carlton cafe (atlanta), 181 peachtree st., atlanta, american (new)
711,riviera, 519 e. paces ferry rd., atlanta, mediterranean
712,silver skillet  the, 200 14th st. nw, atlanta, coffee shops
713,soto, 3330 piedmont rd., atlanta, japanese
714,thelma's kitchen, 764 marietta st. nw, atlanta, cafeterias
715,tortillas, 774 ponce de leon ave. ne, atlanta, tex-mex
716,van gogh's restaurant & bar, 70 w. crossville rd., roswell, american (new)
717,veggieland, 220 sandy springs circle, atlanta, vegetarian
718,white house restaurant, 3172 peachtree rd. ne, atlanta, diners
719,zab-e-lee, 4837 old national hwy., college park, thai
720,bill's place, 2315 clement st., san francisco, hamburgers
721,cafe flore, 2298 market st., san francisco, californian
722,caffe greco, 423 columbus ave., san francisco, continental
723,campo santo, 240 columbus ave., san francisco, mexican
724,cha cha cha's, 1805 haight st., san francisco, caribbean
725,doidge's, 2217 union st., san francisco, american
726,dottie's true blue cafe, 522 jones st., san francisco, diners
727,dusit thai, 3221 mission st., san francisco, thai
728,ebisu, 1283 ninth ave., san francisco, japanese
729,emerald garden restaurant, 1550 california st., san francisco, vietnamese
730,eric's chinese restaurant, 1500 church st., san francisco, chinese
731,hamburger mary's, 1582 folsom st., san francisco, hamburgers
732,kelly's on trinity, 333 bush st., san francisco, californian
733,la cumbre, 515 valencia st., san francisco, mexican
734,la mediterranee, 288 noe st., san francisco, mediterranean
735,la taqueria, 2889 mission st., san francisco, mexican
736,mario's bohemian cigar store cafe, 2209 polk st., san francisco, italian
737,marnee thai, 2225 irving st., san francisco, thai
738,mel's drive-in, 3355 geary st., san francisco, hamburgers
739,mo's burgers, 1322 grant st., san francisco, hamburgers
740,phnom penh cambodian restaurant, 631 larkin st., san francisco, cambodian
741,roosevelt tamale parlor, 2817 24th st., san francisco, mexican
742,sally's cafe & bakery, 300 de haro st., san francisco, american
743,san francisco bbq, 1328 18th st., san francisco, thai
744,slanted door, 584 valencia st., san francisco, vietnamese
745,swan oyster depot, 1517 polk st., san francisco, seafood
746,thep phanom, 400 waller st., san francisco, thai
747,ti couz, 3108 16th st., san francisco, french
748,trio cafe, 1870 fillmore st., san francisco, american
749,tu lan, 8 sixth st., san francisco, vietnamese
750,vicolo pizzeria, 201 ivy st., san francisco, pizza
751,wa-ha-ka oaxaca mexican grill, 2141 polk st., san francisco, mexican
752,arnie morton's of chicago, 435 s. la cienega blvd., los angeles, steakhouses
753,art's deli, 12224 ventura blvd., studio city, delis
754,bel-air hotel, 701 stone canyon rd., bel air, californian
755,cafe bizou, 14016 ventura blvd., sherman oaks, french bistro
756,campanile, 624 s. la brea ave., los angeles, californian
757,chinois on main, 2709 main st., santa monica, pacific new wave
758,citrus, 6703 melrose ave., los angeles, californian
759,fenix at the argyle, 8358 sunset blvd., w. hollywood, french (new)
760,granita, 23725 w. malibu rd., malibu, californian
761,grill  the, 9560 dayton way, beverly hills, american (traditional)
762,katsu, 1972 hillhurst ave., los feliz, japanese
763,l'orangerie, 903 n. la cienega blvd., w. hollywood, french (classic)
764,le chardonnay (los angeles), 8284 melrose ave., los angeles, french bistro
765,locanda veneta, 8638 w. third st., los angeles, italian
766,matsuhisa, 129 n. la cienega blvd., beverly hills, seafood
767,palm  the (los angeles), 9001 santa monica blvd., w. hollywood, steakhouses
768,patina, 5955 melrose ave., los angeles, californian
769,philippe the original, 1001 n. alameda st., chinatown, cafeterias
770,pinot bistro, 12969 ventura blvd., studio city, french bistro
771,rex il ristorante, 617 s. olive st., los angeles, nuova cucina italian
772,spago (los angeles), 8795 sunset blvd., w. hollywood, californian
773,valentino, 3115 pico blvd., santa monica, italian
774,yujean kang's, 67 n. raymond ave., pasadena, chinese
775,21 club, 21 w. 52nd st., new york city, american (new)
776,aquavit, 13 w. 54th st., new york city, scandinavian
777,aureole, 34 e. 61st st., new york city, american (new)
778,cafe lalo, 201 w. 83rd st., new york city, coffeehouses
779,cafe des artistes, 1 w. 67th st., new york city, french (classic)
780,carmine's, 2450 broadway, new york city, italian
781,carnegie deli, 854 seventh ave., new york city, delis
